class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,10.983042,3.7478987,2.5070075,62.2119369,716.2888325,5626,0.823019
1,17.726449,3.4404719,2.261664,32.8605569,610.6445415,5626,0.823019
1,40.7199388,4.2436925,3.2352713,47.143655,668.3063106,5914,1.55953
0,79.3739596,5.392,2.17454,3.05331,368,5168.33,0.77
1,18.1663644,2.464,2.80447,16.6472,562,5572.9,1.14
1,105.5850893,11.6068811,2.5033335,8.047858,429.5758177,5909.57,1.1142
0,27.2149622,3.7190483,8.3475973,25.4860381,573.0537137,6270,0.989667
1,19.1807264,3.9621084,2.4311768,32.9407734,611.0168649,5262.4,0.937973
1,1.2124493,0.9984653,0.879419,336.2098533,1092.125026,3751,0.518
1,4.5541831,7.8146963,0.8887417,54.8401357,694.0557871,4280,0.635812
1,41.4856125,6.6899368,12.5121956,271.196017,1035.00054,6354,3.4868701
1,13.7738265,2.9992376,1.8971927,67.2831271,730.4597521,5455.96,1.01825
1,1.9142544,3.256,2.04421,6105.33,2462,6734,1.59
1,5.0780325,1.2100353,2.6347763,8.1743139,431.253644,3318,0.334125
1,91.6827832,9.7504857,3.239855,5.9944903,399.0780255,5802,1.01814
1,10.1944993,2.2648785,2.7392825,231.1087411,994.4291411,6082,1.32661
0,14.64319,2.5483426,3.41248,391.2017546,1134.279147,6516,2.04178
1,4.1782656,1.675904,2.1023854,13.9295288,492.7241583,3442,0.404403
1,17.9453645,3.0740072,3.3839124,1.9952383,303.1226876,3442,0.404403
1,13.896396,3.5885605,2.4586343,52.3837065,686.1495861,5522.87,0.888163
1,8.1213102,3.1040945,2.3157186,107.208941,820.6868999,5522.87,0.888163
1,3.9287851,1.8165271,2.329279,376.4612937,1123.439869,5668.15,0.986943
1,27.3613778,4.0586418,6.4522449,0.8345555,243.7718547,3050,0.44128
1,29.0497517,7.117,2.84674,257.066,1115,8208,1.8
1,3.3088922,6.114,24.9862,17074.7,3184,6188,2.62
1,25.0571312,7.5424225,3.2396838,53.1389289,688.6094029,5696,1.15281
1,24.2454967,3.3725583,3.878568,0.05273,122.2177444,3535,0.465271
1,14.2545623,4.7250029,10.7048234,90.0658585,785.7055082,5739,1.09597
1,14.1758947,3.7543827,2.6231641,53.8795095,690.9961983,5723.87,0.864173
1,19.5901578,4.002861,3.0026428,35.0031418,620.3638839,5723.87,0.864173
1,6.2036219,3.01098,2.056748,162.1675094,910.1452592,5723.87,0.864173
1,3.79589,2.4602856,1.553135,312.1807495,1072.065399,5723.87,0.864173
0,2.2645386,3.8193701,5.1936764,34.1873897,616.7174475,3443,0.411471
1,3.4447015,1.912,2.00495,231.437,1086,3912,0.63
1,3.0300715,2.5466671,12.7529892,318.4581858,1077.414594,5242.82,0.857369
1,12.72038,2.401,4.96046,41.1042,705,6212,1.48
