class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,4.082274889,3.23015,10.55,251.48,1016.0,5655.0,0.794
1,3.886655224,3.1646,1.87,246.29,1010.0,5662.0,0.738
1,4.617490562,2.2618,1.62,66.47,728.0,4500.0,0.646
1,10.19849255,2.4283,1.75,23.11,559.0,4500.0,0.646
0,5.795063956,3.2496,4.33,192.74,950.0,5865.0,0.827
1,7.15681552,2.5882,2.47,88.23,782.0,5029.0,0.838
1,4.14810719,2.535,1.08,182.76,938.0,5029.0,0.838
1,16.51410989,4.1575,2.72,43.57,655.0,5527.0,0.866
1,30.1329298,5.172,3.14,19.55,536.0,5527.0,0.866
1,31.71981013,4.819,3.09,71.97,743.0,5869.0,1.626
1,4.708326451,3.16114,10.6,431.02,1162.0,5560.0,1.21
0,16.37198661,3.8449,540.37,8.71,438.0,4187.0,0.592
1,5.392026903,2.9804,2.68,123.33,850.0,5198.0,0.801
1,2.494170338,1.1221,2.42,480.19,1194.0,5569.0,0.829
1,6.491682808,4.301,9.66,301.54,1062.0,6123.0,1.107
0,3.044770796,10.0134,24.54,317.36,1076.0,5525.0,0.753
1,3.855603916,3.2179,13.61,508.65,1212.0,6033.0,1.046
1,3.314947362,1.8007,3.94,421.03,1155.0,5609.0,0.944
0,6.71969089,3.0231,4.37,194.18,952.0,5931.0,0.866
1,39.6431552,6.5292,10.98,11.74,472.0,5231.0,0.9
0,51.42598578,16.9422,29.66,21.4,549.0,6257.0,1.147
1,10.28194593,3.4366,2.53,50.6,680.0,5196.0,0.775
1,18.11993039,4.2309,2.95,23.77,563.0,5196.0,0.775
1,3.78402867,1.9012,1.7,191.78,949.0,5196.0,0.775
0,33.80364366,11.4813,20.7,72.71,745.0,5855.0,1.796
1,39.4759093,2.968,4.06,26.13,577.0,6225.0,1.031
0,19.97448524,4.23479,26.56,56.84,700.0,6108.0,0.997
1,3.166353562,3.3129,3.82,621.92,1273.0,6007.0,0.998
1,5.83909761,3.1915,2.06,341.48,1097.0,5553.0,1.25
1,10.6816951,3.605,2.3,152.75,897.0,5553.0,1.25
1,6.104849417,4.6912,3.18,89.25,784.0,5085.0,0.712
1,3.578780566,2.91089,10.43,406.6,1145.0,5524.0,0.994
0,3.187067566,3.119,23.88,319.76,1079.0,5450.0,0.811
1,5.826657508,2.9183,4.09,248.57,1013.0,5561.0,1.06
1,18.74649011,3.895,3.05,52.38,686.0,5561.0,1.06
1,20.86021229,5.1937,5.5,87.76,781.0,6035.0,1.257
1,42.63427848,6.1998,5.22,33.82,615.0,6035.0,1.257
1,9.467821474,2.4327,2.13,6.47,407.0,3582.0,0.458
1,0.893040969,1.0981,1.24,151.14,893.0,3582.0,0.458
1,4.942783419,3.25346,10.62,244.42,1008.0,5514.0,0.978
1,20.83426731,4.0454,2.74,29.62,595.0,5537.0,0.88
1,9.94602357,3.3862,3.12,100.34,807.0,5344.0,1.013
1,1.04562195,1.8955,1.45,2031.84,1710.0,5344.0,1.013
0,102.9641952,15.735,39.0,95.4,797.0,5047.0,7.119
1,8.14515981,5.073,3.43,287.91,1050.0,5896.0,1.24
1,18.9985279,4.529,43.17,93.03,792.0,5896.0,1.24
1,28.5742692,4.9427,2.32,19.83,538.0,5551.0,0.812
1,0.689210173,1.6169,1.32,3362.71,1943.0,5630.0,0.954
1,7.34373964,1.1784,1.84,117.5,839.0,5757.0,0.762
0,9.88047978,2.78458,23.6,129.45,860.0,6113.0,0.917
0,4.6484156,38.1939,5.06,6152.88,2259.0,6980.0,3.482
0,17.51201477,1.8248,13.66,98.77,804.0,6224.0,1.132
0,0.525154153,2.1441,23.61,4391.51,2073.0,5582.0,0.846
0,1.303861044,4.0541,27.85,1595.19,1610.0,5758.0,0.902
0,2.947376671,2.0911,403.59,7903.84,2404.0,8090.0,2.234
1,224.7789355,11.1899,7.67,2.92,333.0,5873.0,1.235
0,5.76573396,2.924,7.47,3518.78,1964.0,5772.0,4.434
1,15.9868932,4.158,1.62,98.51,803.0,6049.0,1.176
0,0.73094589,4.32,17.12,3248.17,1922.0,5901.0,0.848
1,18.92537246,3.9835,13.92,443.58,1171.0,4941.0,4.885
0,2.037440623,3.442,1.19,1448.05,1572.0,6253.0,1.015
1,129995.7784,9.408,2.99,0.0,25.0,4500.0,0.726
1,31.5925809,13.566,1.78,53.09,688.0,5676.0,1.487
1,17.157236,11.284,1.55,119.87,844.0,5676.0,1.487
1,1.97376085,1.82542,8.78,76.1,753.0,3807.0,0.503
1,13.11896244,4.3045,8.25,2310.43,1768.0,7221.0,4.24
1,7.82187328,3.8417,2.78,4601.71,2101.0,7221.0,4.24
1,53.5057611,10.5616,2.52,49.16,675.0,6247.0,1.762
1,2.785821236,3.5599,1.69,2388.98,1784.0,6202.0,1.733
0,52.56901867,6.7507,78.54,69.62,737.0,7240.0,1.717
0,0.525426427,1.0801,1.45,4349.62,2069.0,5791.0,0.802
