class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
1,99.6415962,4.448,953.0,2.64,360.0,3.97,5527.0,0.866
1,4.708326451,3.16114,7910.0,10.6,1162.0,431.02,5560.0,1.21
0,16.37198661,3.8449,4150.0,540.37,438.0,8.71,4187.0,0.592
1,5.392026903,2.9804,1150.0,2.68,850.0,123.33,5198.0,0.801
1,2.494170338,1.1221,864.0,2.42,1194.0,480.19,5569.0,0.829
1,6.491682808,4.301,7160.0,9.66,1062.0,301.54,6123.0,1.107
0,3.044770796,10.0134,1700.0,24.54,1076.0,317.36,5525.0,0.753
1,3.855603916,3.2179,16700.0,13.61,1212.0,508.65,6033.0,1.046
0,3.855599139,3.183,1030.0,3.57,1158.0,425.74,5936.0,0.965
0,38.47876629,5.04169,23500.0,13.26,484.0,13.01,5510.0,0.879
0,37.60166128,8.30604,59100.0,27.22,606.0,31.86,6140.0,1.096
1,3.314947362,1.8007,1400.0,3.94,1155.0,421.03,5609.0,0.944
0,6.71969089,3.0231,970.0,4.37,952.0,194.18,5931.0,0.866
1,39.6431552,6.5292,15700.0,10.98,472.0,11.74,5231.0,0.9
0,51.42598578,16.9422,66100.0,29.66,549.0,21.4,6257.0,1.147
1,21.80451611,3.4097,1140.0,2.6,543.0,20.48,5481.0,0.708
1,10.28194593,3.4366,1110.0,2.53,680.0,50.6,5196.0,0.775
1,18.11993039,4.2309,1510.0,2.95,563.0,23.77,5196.0,0.775
1,3.78402867,1.9012,426.0,1.7,949.0,191.78,5196.0,0.775
1,5.15448142,3.228,698.0,2.94,964.0,204.1,5431.0,0.884
0,33.80364366,11.4813,13500.0,20.7,745.0,72.71,5855.0,1.796
1,5.743469797,3.4412,1240.0,3.13,982.0,219.95,5897.0,0.891
1,39.4759093,2.968,1010.0,4.06,577.0,26.13,6225.0,1.031
0,19.97448524,4.23479,40300.0,26.56,700.0,56.84,6108.0,0.997
