class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
0,13.7431084,2.285,5688,12.05,844,84.3234,5941.5,1.34
0,16.9487087,4.2887767,156467.548,45.2204505,758.5937679,78.263287,5894.7,1.1179
0,3.3686634,3.012,3288,42.2321,2775,9856.24,7518,2.68
0,11.2071839,4.366,3276,17.4989,1487,813.063,6152,2.24
1,4.8878037,2.184,4279,5.29152,810,71.6805,4757.3,0.76
0,0.660179,1.6349369,473.0939303,6.1672487,5717.153248,252487.7639,8598.7,2.62432
0,10.9278415,2.468,2743,49.1695,1129,270.142,6259,2.92
1,5.5514888,4.335,9493,15.8043,1482,802.858,6403.9,1.55
1,4.7423709,2.4988145,12650.81104,10.5505922,970.6340996,209.7699043,5377,0.877585
1,1.4810903,4.1588291,6788.514539,20.3402421,3446.021057,33326.73049,9435,2.28773
1,3.4741012,3.317,15748,21.2912,2084.333087,3453.07,8894.8,1.62
1,21.745537,4.196,659,2.10208,642,28.2504,5704,0.93
0,13.0727479,3.044,4080,35.7944,1074,221.343,5709.8,3.59
0,2.9258727,4.075,6720,24.4055,2066,3028.51,4884.5,1.3
1,2.7985802,2.3801043,16708.7152,11.9514993,1089.145817,332.556249,4920,0.906655
1,2.2552845,2.05,20820,14.688,1348,549.715,5787,0.96
0,1.8824539,2.46,1391,8.29008,3091,15173.2,5900.4,1.13
0,2.1358631,1.559,10325,23.6019,1745,1540.95,5969,1.5
1,6.7075429,2.125,11920,17.4647,1079,225.822,6134.3,1.24
1,3.5862962,3.3710943,5729.324686,16.4747611,1658.39152,1787.595594,5704.8,2.00441
0,1.8296155,2.166,1406,29.3616,3751,32867,7875,3.5
0,11.1876137,3.183,4924,31.8624,1499,838.609,7266,2.05
1,7.0643978,2.424,8268,9.39131,890,104.311,5429.6,0.96
1,8.9534775,2.696,1136,2.35888,723,45.5604,5029.5,0.76
0,7.5022708,2.605,1760,5.55812,940,129.866,6229,1.27
1,14.0077666,5.8727493,5924.834967,12.4023108,1028.532029,264.4796635,6557.7,1.57435
0,1.692892,2.886,1418,11.2371,5800,187927,9121.5,2.1
0,2.6652007,3.49,819,2.35964,2045,2905.35,4043.4,0.56
1,6.0344667,1.89,1800,4.44029,788,64.2648,5586,1.05
1,9.6867516,2.512,1669,3.00336,707,41.6645,4738.1,0.73
1,2.1031647,5.059,7142,16.7087,3037,14140,6122,1.93
0,7.6416041,2.654,6025,27.538,1303,478.683,6496.7,2.05
1,5.7484439,1.76,1041,2.35215,820,75.272,4534,0.69
0,1.1967018,1.879,824,10.3239,3534,25917.9,5997,1.73
0,11.2464616,7.391,7576,17.6677,1218,365.938,6115.7,2.01
1,2.5941968,0.861,907,4.47229,1159,300.014,6389,1.4
1,5.5411114,2.467,633,2.04482,1117,258.843,5332,0.82
1,10.6917268,3.002,535,1.79811,710,42.2657,5332,0.82
0,15.7335693,3.288,2540,24.3218,1219,367.588,6800,2.21
1,2.3106428,1.294,6911,8.76741,1052,203.685,5339.9,0.99
1,5.5376617,2.517,5390,15.6557,1206,351.929,6689,2.06
1,4.5960377,4.744,5000,16.2166,1937,2340.04,7649,2.12
1,3.612771,4.142,11794,19.3662,2344,5011.92,8324,1.71
1,3.6714717,2.149,4340,10.678,1182,324.114,5618,1.54
0,0.8352406,1.043,2065,6.4875,2345,5021.63,6105,1.24
1,2.4919771,1.4338141,2093.95942,2.2187585,639.9817426,39.6452664,3948,0.482388
1,25.5195307,6.6877451,558.3758637,2.9641461,662.8890748,45.6335702,5742.22,1.17321
1,1.3812115,2.7372191,117.7553083,2.2402361,2222.614552,5767.367364,6711,1.7756799
1,2.3922703,9.0053425,63.575141,3.5905923,2954.822621,18015.5142,6090,4.1956
0,0.831542,1.985538,248.969585,1.881684,1999.379666,3776.609537,5824,1.1512
