# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:34:46 2025
#
# User preference: *
#
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
loc_rowid,pl_orbper,pl_trandurh,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
264,29.0497517,7.1170000,2.8467400,257.0660000,1115.0000000,8208.0000000,1.8000000
265,31.8132264,11.2567164,21.6314984,48.4375724,672.8454841,6028.8400000,1.9889300
266,3.3088922,6.1140000,24.9862000,17074.7000000,3184.0000000,6188.0000000,2.6200000
267,25.0571312,7.5424225,3.2396838,53.1389289,688.6094029,5696.0000000,1.1528100
268,24.2454967,3.3725583,3.8785680,0.0527300,122.2177444,3535.0000000,0.4652710
269,14.2545623,4.7250029,10.7048234,90.0658585,785.7055082,5739.0000000,1.0959700
270,14.1758947,3.7543827,2.6231641,53.8795095,690.9961983,5723.8700000,0.8641730
271,19.5901578,4.0028610,3.0026428,35.0031418,620.3638839,5723.8700000,0.8641730
272,6.2036219,3.0109800,2.0567480,162.1675094,910.1452592,5723.8700000,0.8641730
273,3.7958900,2.4602856,1.5531350,312.1807495,1072.0653989,5723.8700000,0.8641730
274,2.2645386,3.8193701,5.1936764,34.1873897,616.7174475,3443.0000000,0.4114710
275,3.4447015,1.9120000,2.0049500,231.4370000,1086.0000000,3912.0000000,0.6300000
276,3.0300715,2.5466671,12.7529892,318.4581858,1077.4145935,5242.8200000,0.8573690
277,12.7203800,2.4010000,4.9604600,41.1042000,705.0000000,6212.0000000,1.4800000
278,6.2387550,3.6178567,2.9728283,587.1290759,1255.4607699,6212.0000000,1.4776800
279,3.2947689,1.7483103,2.5248559,56.9377632,700.5995436,3853.0000000,0.6232600
