period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
11.87457664,1.9797,221.0,1.32,728.0,66.33,5523.0,0.88,0.9999999
19.9676936,6.280493,6084.343543,10.0136343,759.6234924,78.6890952,5857.0,1.26949,0.99990857
3.5115357,3.527,9290.0,12.81,1360.0,569.545,5490.8,1.35,0.99999964
7.9039906,3.996,3040.0,9.39901,1064.0,213.482,5797.0,1.79,1.0
2.980341,3.635,11829.0,15.4918,1709.0,1416.28,6283.8,1.57,0.9999924
4.88446644,2.057,221.0,0.84,579.0,26.5,3883.0,0.517,1.0
234.524445,3.9,876.0,2.33,226.0,0.62,4987.0,0.727,0.99999845
5.80184753,3.9551,22100.0,14.0,989.0,225.81,5687.0,0.921,0.9991448
16.7368995,4.561,989.0,2.88015,834.0,80.3869,5759.0,1.0,0.99999607
16.2951259,3.678,198.0,1.15,574.0,25.59,4915.0,0.812,0.9999999
15.92663277,7.42888,272000.0,57.95,670.0,47.68,5496.0,0.917,5.4414356e-21
12.00089667,3.266,421.0,1.47,632.0,37.81,5195.0,0.69,0.9999994
0.953734449,1.7616,1240.0,47.65,2672.0,12038.6,7332.0,1.46,0.13471608
219.3215562,12.4124,3630.0,6.11,313.0,2.27,6063.0,1.012,0.08974213
5.73436,1.146,17740.0,21.0528,588.0,19.8561,4405.0,0.86,0.99999964
1.12401084,3.052,43.6,0.61,1719.0,2058.79,5941.0,0.911,0.99999857
0.93376089,3.027,27.3,0.57,2064.0,4286.78,6292.0,1.078,0.99999666
67.844689,11.757,211.0,2.65,592.0,29.08,5878.0,1.812,0.99979943
9.751720174,16.1937,333000.0,182.09,1356.0,800.41,5147.0,3.145,2.3164597e-34
3.7810832,3.069,8030.0,15.3456,1434.0,702.278,6364.0,1.59,0.9999981
5.776794344,6.33505,122000.0,129.2,2249.0,6048.96,7666.0,3.601,1.9576426e-12
3.940549,3.78,3700.0,7.73812,1359.0,566.891,5493.0,1.5,1.0
8.667826242,5.06514,43500.0,37.51,1225.0,531.63,6712.0,1.538,0.06531801
17.04215521,7.80412,55200.0,24.93,760.0,78.98,6197.0,1.035,0.0004762856
19.0286016,3.938,8910.0,8.13514,536.0,13.7261,4733.0,0.81,0.9999987
4.583520948,2.7055,3810.0,5.39,1038.0,274.98,5815.0,0.877,0.9999974
3.8116176,1.997,6560.0,7.38288,987.0,157.644,5430.0,0.89,0.99999964
58.5029431,1.633,117.0,1.54,611.0,33.01,6525.0,1.412,1.0
44.3471936,6.43,792.0,2.45,484.0,13.0,5600.0,0.872,0.9998913
3.518972,3.21,13820.0,13.7987,1407.0,650.74,5972.0,1.16,0.9999703
2.3922703,9.0053425,63.575141,3.5905923,2954.822621,18015.5142,6090.0,4.1956,1.0
11.75560012,4.7,649.0,22.39,716.0,62.19,5644.0,0.806,0.9981931
3.66115536,14.807,34.3,0.81,1466.0,1093.71,6356.0,1.308,0.18192767
17.4219809,4.0812901,11750.83648,16.1019557,805.0171124,99.2524992,6282.0,1.36695,0.99988806
0.84986054,1.3875,6570.0,67.45,2260.0,6185.9,5164.0,1.676,0.99926335
4.8504819,4.9957058,6852.335047,17.4413086,1628.04902,1660.316602,6313.0,2.05899,0.99999917
11.99097576,5.7401,2120.0,37.47,880.0,141.63,6110.0,1.072,0.7857824
20.55848388,1.449,677.0,36.9,624.0,35.76,5578.0,0.936,0.9998487
2.6343177,4.765,3792.0,13.5381,2563.0,7168.32,7495.0,2.39,0.9999894
122.8054416,2.663,313.0,118.62,602.0,31.11,5874.0,3.006,0.9775173
2.94648935,3.155,57.0,0.89,1497.0,1187.5,6481.0,1.171,0.99999845
26.0164225,4.1768,41100.0,61.04,755.0,76.63,6287.0,1.28,0.0006841622
11.17931581,3.103,90.6,1.81,1159.0,426.61,6292.0,1.873,1.0
4.0467915,3.979,5180.0,12.8472,1501.0,843.152,5933.0,1.79,0.9999999
17.46087931,2.2641,812.0,2.32,568.0,24.6,5103.0,0.787,1.0
350.34114,16.97,1360.0,2.5,202.0,0.39,5188.0,0.69,0.00085350627
49.2768448,3.787,1130.0,1.75,271.0,1.28,3899.0,0.529,1.0
9.1505,2.986,1370.0,11.1497,1132.0,272.763,7719.0,3.02,1.0
3.388012244,2.6849,280.0,2.11,1315.0,705.93,5553.0,1.25,1.0
20.5736113,11.222,76.0,3.86,1197.0,484.82,5440.0,4.524,1.0
3.098367,1.963,496.0,2.47118,1185.0,328.067,5400.0,1.18,1.0
7.863361238,3.42771,18200.0,22.7,1057.0,294.86,5615.0,1.4,0.99998033
5.30873978,3.018,128.0,1.08,1042.0,279.21,5914.0,0.955,0.9999994
1.33258458,3.222,127.0,1.25,1868.0,2873.72,6384.0,1.086,0.9999957
5.3829728,1.382,1078.0,3.5038,816.0,73.722,5134.0,0.76,1.0
8.3613732,3.649,105.0,0.79,793.0,93.31,5470.0,0.777,0.9999989
3.1968838,3.7533697,7958.980656,14.9685779,1671.124929,1843.132991,6470.0,1.59715,0.99998987
1.01884975,3.233,30.9,0.47,1754.0,2238.64,6068.0,0.829,0.99999344
55.25178622,6.094,39900.0,27.32,444.0,9.15,5793.0,0.832,0.023263395
3.5524144,2.784,2060.0,8.52936,1572.0,1015.53,6843.0,1.82,0.9999999
139.2632286,15.5650549,403.2688035,1.8388146,315.0609123,2.3286226,5373.01,0.90717,0.052961413
2.33211505,2.96723,106000.0,140.22,1594.0,1530.05,6384.0,1.094,1.09066503e-16
1.3847905,2.657,4150.0,11.9783,2006.0,2691.16,5596.0,1.82,1.0
4.5697688,3.369,9780.0,17.1535,1054.0,204.884,4976.0,1.7,1.0
445.351255,6.516,420.0,3.66,370.0,4.43,7202.0,1.755,0.9996464
18.3980827,4.438,145.0,1.26,686.0,52.31,5605.0,1.015,0.99999905
1.5732848,2.4285285,16875.79098,14.7247524,1603.813112,1563.637366,5400.0,1.09539,0.9999964
1.6037058,9.067,32.8,1.54,2492.0,9138.09,6400.0,2.512,0.9999988
9.9783319,4.2281711,179.2248456,2.0515332,1062.303534,300.9646623,6073.5,1.47131,0.9999999
11.72291212,4.2064,492.0,2.08,766.0,81.46,5550.0,0.953,0.9999988
3.623909,2.6568012,26979.82105,6.9347137,373.8573643,4.6168393,3514.0,0.414101,0.99999964
